rank,name,city,country,category,lat,lng,place_id,formatted_address
1,Tropicalia Coffee,,Colombia,South America,4.6637286,-74.0506899,ChIJTVQUVWCaP44RZT7-gUaccBg,"Cl. 81a #8-23, Bogotá, Colombia"
1,Onyx Coffee LAB,"Rogers, Arkansas",USA,Top 100,36.3333573,-94.11587329999999,ChIJk9nZVQ8XyYcRZFTk53sKJj8,"101 E Walnut St, Rogers, AR 72756, USA"
2,Kafi Wasi Café Tostaduría,a white sillar (ashlar […],Peru,South America,-16.3986215,-71.5392097,ChIJw9QmKVpKQpERH3VzVL5rquQ,"Calle Pte. Bolognesi 216, Arequipa 04001, Peru"
2,Tim Wendelboe,,Norway,Top 100,59.9232769,10.7557482,ChIJWR6FqmhuQUYRN9lAKt93iU4,"Grüners gate 1, 0552 Oslo, Norway"
3,Holaste! Specialty Coffee,"Natales,  Región de Magallanes",Chile,South America,-51.7261499,-72.50746,ChIJ2ehQLBror70RRPdloMC8JDA,"Carlos Bories 385, 6160492 Ultima Esperanza, Natales, Magallanes y la Antártica Chilena, Chile"
3,Alquimia Coffee,,El Salvador,Top 100,13.6928745,-89.2426957,ChIJnwIIpygwY48REUd4uchWq4E,"MQV4+5WJ, Calle Circunvalacion 294, San Salvador, El Salvador"
4,FANKØR,,Ecuador,South America,-0.20011,-78.4819266,ChIJaRWpbnOa1ZERnyD484I3qtQ,"Whymper N27-55 y, Quito 170518, Ecuador"
4,Only Coffee Project Crows Nest,,Australia,Top 100,-33.8242841,151.2006511,ChIJefAW7cKuEmsR6bbbNIeh9JM,"2/118 Willoughby Rd, Crows Nest NSW 2065, Australia"
5,TRIBUTO casa de café &#8211; Chacao,,Venezuela,South America,10.4954806,-66.854226,ChIJG5Tj08RZKowR_BP9qXBm_Wk,"local G, edifico Donatello, C. Cecilio Acosta, Caracas 1060, Miranda, Venezuela"
5,Toby&#8217;s Estate Coffee Roasters,,Australia,Top 100,-33.8858584,151.1944136,ChIJiWjKI9axEmsRNuGud8pJWJ0,"32-36 City Rd, Chippendale NSW 2008, Australia"
6,FRUTO Café,,Argentina,South America,-34.5859867,-58.42579749999999,ChIJialHiIa1vJUR2tIRJX51uXI,"Jorge Luis Borges 2021, C1425FFA Cdad. Autónoma de Buenos Aires, Argentina"
6,Apartment Coffee,,Singapore,Top 100,1.3028157,103.8499343,ChIJyRJvdrMZ2jERpcCkSyqNYI8,"139 Selegie Rd, #01-01, Singapore 188309"
7,Monotono Specialty Coffee,,Peru,South America,-12.1402626,-77.0219778,ChIJf5I-TeW3BZERvrgs8C-9MhQ,"Jirón Fedelli 103, Barranco 15063, Peru"
7,Gota Coffee Experts,"Vienna, Austria",Austria,Top 100,48.1915042,16.3269157,ChIJg0ccoRyobUcR7yKVggFLBww,"Mariahilfer Str. 192, 1150 Wien, Austria"
8,Cupping Café,,Brazil,South America,-23.5549482,-46.68882139999999,ChIJxdLkNJZXzpQReUwGK4nyk8Y,"R. Wisard, 171 - Vila Madalena, São Paulo - SP, 05434-080, Brazil"
8,Story of Ono,,Malaysia,Top 100,3.114084,101.6215677,ChIJZaLrClZJzDERdgtscINLHOo,"47, Jalan SS 2/30, SS 2, 47300 Petaling Jaya, Selangor, Malaysia"
9,Puku Puku,,Peru,South America,-12.1220962,-77.0265031,ChIJYUdgzhvIBZERBeR6x_DRTJU,"Av. la Paz 463, Miraflores 15074, Peru"
9,Tropicalia Coffee,,Colombia,Top 100,4.6637286,-74.0506899,ChIJTVQUVWCaP44RZT7-gUaccBg,"Cl. 81a #8-23, Bogotá, Colombia"
10,Eco Mapu Coffee Villarica,,Chile,South America,-39.2843333,-72.224107,ChIJTyO8tjpiFJYR-A4dCOvJirc,"Julio Zegers 530, 4930000 Villarrica, Araucanía, Chile"
10,Tanat,,France,Top 100,48.8584219,2.3462519,ChIJxzzYox9u5kcRfmIu6OqmgMw,"22 Av. Victoria, 75001 Paris, France"
11,Typica Café,"La Paz, Bolivia",Bolivia,South America,-17.4031996,-66.1545245,ChIJq6BPke9z45MRCx_ad5rdpb8,"HRWW+P5H, Cochabamba, Bolivia"
11,FANKØR,,Ecuador,Top 100,-0.20011,-78.4819266,ChIJaRWpbnOa1ZERnyD484I3qtQ,"Whymper N27-55 y, Quito 170518, Ecuador"
