Rank,Coffee Shop,Country,Address
1,Tropicalia Coffee,Colombia,"Cl. 81a #8-23, Bogotá, Colombia"
2,Kafi Wasi Café Tostaduría,Peru,"Calle, Calle Pte. Bolognesi 216, Arequipa, Perú"
3,Holaste! Specialty Coffee,Chile,"Carlos Bories 385, Ultima Esperanza, Natales, Región de Magallanes, Chile"
4,FANKØR,Ecuador,"Whymper N27-55 y, Quito 170518, Ecuador"
5,TRIBUTO casa de café &#8211; Chacao,Venezuela,"local G, edifico Donatello, C. Cecilio Acosta, Caracas 1060, Miranda, Venezuela"
6,FRUTO Café,Argentina,"Jorge Luis Borges 2021, C1414 Cdad. Autónoma de Buenos Aires, Argentina"
7,Monotono Specialty Coffee,Peru,"Jirón Fedelli 103, Barranco 15063, Perú"
8,Cupping Café,Brazil,"R. Wisard, 171 - Vila Madalena, São Paulo - SP, 05434-080, Brasil"
9,Puku Puku,Peru,"Av. la Paz 463, Miraflores, Perú"
10,Eco Mapu Coffee Villarica,Chile,"Julio Zegers 530, Villarrica, Región de La Araucanía, Chile"
11,Typica Café,Bolivia,"La Paz 661, Cochabamba, Bolivia"
12,Pergamino Café Laureles,Colombia,"Cq 73 #34 - 65, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia"
13,Caferatto Café Especial,Colombia,"Cra. 23c #62-72, Manizales, Caldas, Colombia"
14,Wake Up Coffee Lab,Chile,"Errazuriz 944, Punta Arenas, Región de Magallanes, Chile"
15,Masaro Café,Peru,"La Florida 576, Chiclayo 14000, Perú"
16,Mulano Coffee Shop,Ecuador,"Avenida Loja, Piñas, Ecuador"
17,Origen Tostadores de Café,Peru,"Av. Simón Bolívar 1199, Pueblo Libre 15084, Perú"
18,Casa Canela,Venezuela,"C5GF+8RC, C. Bolivar las Marias, Caracas 1083, Miranda, Venezuela"
19,Mugen Coffee Project,Bolivia,"Av.20 de Octubre 2475, La Paz, Bolivia"
20,Coffee Five,Brazil,"Rua da quitanda 86, centro , Rio de Janeiro, Brazil"
21,Café Guayasamin &#8211; Centro Quito,Ecuador,"Calle García Moreno y Mejía, esquina, Quito, Ecuador"
22,Café de Barrio,Argentina,"Buenos Aires 601 Local 4, X5000, Córdoba, Argentina"
23,Three Monkeys Coffee Cusco,Peru,"Pje. Pampa de la Alianza 474, Cusco 08000, Perú"
24,Abstrakto Café de Especialidad,Uruguay,"Calderon de la Barca, 20000 Maldonado, Departamento de Maldonado, Uruguay"
25,Neira Café Lab,Peru,"Calle Enrique Palacios 1074, Miraflores 15074, Perú"
26,Café Local,Chile,"General Urrutia 630, Región de La Araucanía, Villarrica, Chile"
27,Tasta Café,Peru,"Challhuamayo, Capiro, 12310, Perú"
28,Oso Café,Peru,"Cl. San Francisco 217, Arequipa, 04001, Perú"
29,Insignia Coffee,Colombia,"Cl. 41 #41-43 F25, Ibagué, Tolima, Colombia"
30,Alquimia Specialty Coffee Shop,Bolivia,"6RQ2+WQ2, C. F, Santa Cruz de la Sierra, Santa Cruz de la Sierra, Bolivia 0000"
31,Antaqa Café,Peru,"Jirón Tres Máscaras 510, Ayacucho, 05003, Perú"
32,Café 4 Llamas &#8211; Santa Cruz,Bolivia,"Condominio You Plaza, Santa Cruz de la Sierra, Bolivia"
33,Café Micelio Puerto Varas,Chile,"Calle Estación 262, Región de Los Lagos, Puerto Varas, Chile"
34,Rua &#8211; Café de especialidad curado,Ecuador,"Victor Emilio Estrada 419 y, Guayaquil, 090511, Ecuador"
35,Café 18 &#8211; El Chicó,Colombia,"Cra. 11B #96-54, Bogotá, Colombia"
36,Cronopios Café,Ecuador,"Bernardo Valdivieso, y, Loja 110108, Ecuador"
37,Abisinia Café y Tostaduria,Peru,"Rodríguez de Mendoza 245, Pueblo Libre 15084, Perú"
38,Slow Brew Coffee Shop Cuenca,Ecuador,"Aurelio Aguilar V. 1-93 y, Cuenca 010107, Ecuador"
39,Hb Bronze Coffeebar,Bolivia,"Plaza Tomas Frias Illimani 1570, La Paz, Bolivia"
40,Tres,Argentina,"Teodoro García 2806, C1426DNB Cdad. Autónoma de Buenos Aires, Argentina"
41,Don Salazar,Peru,"Calle Las Camelias 185 San Isidro, Peru"
42,Cuervo Café,Argentina,"El Salvador 4580, C1414 Cdad. Autónoma de Buenos Aires, Argentina"
