Rank,Coffee Shop,Country,Address
1,Onyx Coffee LAB,USA,"101 E Walnut Ave Rogers, AR 72756, USA"
2,Tim Wendelboe,Norway,"Grüners Gate 1, 0552 Oslo, Norway"
3,Alquimia Coffee,El Salvador,"Calle Circunvalación, 294, San Salvador, El Salvador"
4,Only Coffee Project Crows Nest,Australia,"Shop 2/118 Willoughby Rd, Crows Nest NSW 2065, Australia"
5,Toby&#8217;s Estate Coffee Roasters,Australia,"32-36 City Rd, Chippendale NSW 2008, Australia"
6,Apartment Coffee,Singapore,"139, Selegie Road, Singapore, 18309, Singapore"
7,Gota Coffee Experts,Austria,"Mariahilfer Straße 192, 1150, Vienna, Austria"
8,Story of Ono,Malaysia,"47, Jalan SS 2/30, SS 2, 47300 Petaling Jaya, Selangor, Malaysia"
9,Tropicalia Coffee,Colombia,"CLL 81A 8 23, Bogota, Colombia"
10,Tanat,France,"22 Av. Victoria, 75001, Paris, France"
11,FANKØR,Ecuador,"Whymper N27-55 y, Quito 170518, Ecuador"
12,Arcane Estate Coffee,USA,"37 Cornelia St, New York, NY 10014, USA"
13,Beta Coffee,Australia,"76 Devonshire St, Surry Hills, Sydney, Australia 2010"
14,Nomadic Specialty Coffee,Egypt,"17 Ahmed Heshmat, Mohammed Mazhar, Zamalek, Cairo Governorate 4271160, Egypt"
15,Nemesis Coffee,Canada,"302 W Hastings St, Vancouver, BC V6B 2N4, Canada"
16,Nomad Frutas Selectas,Spain,"Carrer de Pujades, 95, Sant Martí, 08005 Barcelona, Spain"
17,Kafi Wasi Café Tostaduría,Peru,"Calle Pte. Bolognesi 216, Arequipa 04001, Peru"
18,Benchmark Coffee,UAE,"Aljada, Boulevard-1 - Units # BLV1-FB2/BLV1-R07 - Sharjah - UAE"
19,Hola Coffee Lagasca,Spain,"Calle Lagasca, 42, 28001, Madrid, Spain"
20,BlendIn Coffee Club,USA,"8410 Highway 90A, Bldg B Sugar Land, TX 77478, USA"
21,Holaste! Specialty Coffee,Chile,"Carlos Bories 385, 6160000 Natales, Magallanes y la Antártica Chilena, Chile"
22,Momos Coffee Flagship Store,Republic of Korea,"20 Osige-ro, Geumjeong-gu, Busan, Republic of Korea"
23,Monotono Specialty Coffee,Peru,"Jirón Fedelli 103, Barranco 15063, Peru"
24,Ult Coffee,Japan,"1 Chome-11-6 Kyomachibori, Nishi Ward, Osaka, 550-0003, Japan"
25,El Injerto,Guatemala,"9 Calle 15-15, Cdad. de Guatemala 01013, Guatemala"
26,Three Monkeys Coffee,Peru,"Pje. Pampa de la Alianza 474, Cusco 08000, Peru"
27,Proud Mary Coffee,Australia,"172 Oxford St, Collingwood VIC, Melbourne, Australia"
28,Koffee Mameya Kakeru,Japan,"2 Chome-16-14 Hirano, Koto City, Tokyo 135-0023, Japan"
29,Coffee Anthology,Australia,"155, Charlotte St, Brisbane City QLD 4000, Australia"
30,7g Roaster,Portugal,"R. de França 52, 4400-174 Vila Nova de Gaia, Portugal"
31,Espresso Alchemy,China,"1, B116, B1/F Mira Place, 132 Nathan Rd, Tsim Sha Tsui, Hong Kong, China"
32,Coffeewerk + Press,Ireland,"4 Quay St, Galway, Ireland"
33,Typica Café,Bolivia,"Edificio Tres Cruces, Batallón Colorados 40, La Paz, Bolivia"
34,Yardstick,The Philippines,"106, Esteban Street, Makati, Metro Manila"
35,Histórico,Mexico,"Miguel Hidalgo 1, Centro, 29200 San Cristóbal de las Casas, Chis., México"
36,Coffee Sind,Taiwan,"No. 8號, Lane 56, Section 1, Xinsheng S Rd, Zhongzheng District, Taipei City, Taiwan 100"
37,DeLafinca Specialty Coffee,Nicaragua,"Costado Sur del Parque, Managua 11169, Managua, Nicaragua"
38,Ottoman Coffee House,Scotland,"73 Berkeley St., Glasgow G3 7DX, United Kingdom"
39,Casa Canela,Venezuela,"C5GF+8RC, C. Bolivar las Marias, Caracas 1083, Miranda, Venezuela"
40,Espressolab,South Africa,"The Old Biscuit Mill 375 Albert Road Woodstock 7925 Cape Town, South Africa"
41,Seven Mystery,Canada,"50 Weybright Court, unit 13, Toronto, Ontario M1S 5A8"
42,Faro,Italy,"Via Piave 55, 00187 Rome, Italy"
43,Domestique,USA,"200 41st St S, Birmingham, AL 35222, USA"
44,Harvest Coffee,Qatar,"Water Taxi PA-1, Marina Way One, Doha, Qatar"
45,Origen Tostadores de Café,Peru,"Av. Simón Bolívar 1199, Pueblo Libre 15084, Lima, Peru"
46,KEEP Coffee Roastery,China,"No. 113號, Huaian St, Sanmin District, Kaohsiung City, Taiwan 807045"
47,Meet LAB Coffee,Turkey,"Caddebostan, Selin Sk. No:6A/13, 34000 Kadıköy/İstanbul, Turkey"
